comunidad,cod_provincia,provincia,poblacion,num_mesas,total_censo_electoral,total_votantes,votos_validos,votos_candidaturas,votos_blanco,votos_nulos,anio
Andalucía ,4,Almería ,388437,392,239935,186342,185182,184822,360,1160,1977
Andalucía,11,Cádiz,952328,1012,559590,421330,413337,411950,1387,7993,1977
Andalucía,14,Córdoba ,717005,753,451021,365308,361661,361256,405,3647,1977
Andalucía,18,Granada ,737045,668,456952,351595,348393,347518,875,3202,1977
Andalucía,21,Huelva,402973,417,255557,189961,187251,186956,295,2710,1977
Andalucía,23,Jaén,645524,661,403142,316613,314177,313908,269,2436,1977
Andalucía,29,Málaga,915422,1015,569535,440574,434521,433609,912,6053,1977
Andalucía,41,Sevilla ,1375540,1854,842042,692926,684399,682367,2032,8527,1977
Aragón,22,Huesca,215316,402,153109,125015,122523,122129,394,2492,1977
Aragón,44,Teruel,156801,323,112376,95055,93272,92793,479,1783,1977
Aragón,50,Zaragoza,797533,1169,547396,442996,436238,434660,1578,6758,1977
Principado de Asturias ,33,Asturias,1096811,1442,783206,584061,576100,575088,1012,7961,1977
Illes Balears,7,Illes Balears,633016,870,407899,321552,315147,313836,1311,6405,1977
Canarias ,35,Las Palmas,671786,936,365063,289260,283698,282841,857,5562,1977
Canarias ,38,Santa Cruz de Tenerife,687935,751,397732,268184,263445,262585,860,4739,1977
Cantabria,39,Cantabria,492228,806,327008,263997,256406,256015,391,7591,1977
Castilla - La Mancha,2,Albacete,331404,500,211249,171690,169553,169079,474,2137,1977
Castilla - La Mancha,13,Ciudad Real,481212,593,310547,251115,248142,247630,512,2973,1977
Castilla - La Mancha,16,Cuenca,221929,342,151099,128304,126227,125913,314,2077,1977
Castilla - La Mancha,19,Guadalajara,139399,403,95061,81562,80690,80487,203,872,1977
Castilla - La Mancha,45,Toledo,464236,497,309595,268225,265929,265536,393,2296,1977
Castilla y León ,5,Ávila,190865,314,130998,106097,105134,104894,240,963,1977
Castilla y León ,9,Burgos,347879,838,238885,189485,186301,185558,743,3184,1977
Castilla y León ,24,León,526495,852,364127,273694,270228,268946,1282,3466,1977
Castilla y León ,34,Palencia,185859,530,125385,103778,102070,101760,310,1708,1977
Castilla y León ,37,Salamanca,349905,607,241301,199259,194069,193552,517,5190,1977
Castilla y León ,40,Segovia ,151200,279,99408,87097,85555,85191,364,1542,1977
Castilla y León ,42,Soria,104000,300,73992,61230,60279,59997,282,951,1977
Castilla y León ,47,Valladolid,446675,688,295410,249223,245518,244514,1004,3705,1977
Castilla y León ,49,Zamora,230535,407,164706,133390,130134,129534,600,3256,1977
Cataluña ,8,Barcelona,4425562,5284,3004988,2392774,2363117,2358838,4279,29657,1977
Cataluña ,17,Girona,437769,631,304448,249960,246345,245840,505,3615,1977
Cataluña ,25,Lleida,349182,492,242148,188715,185895,185526,369,2820,1977
Cataluña ,43,Tarragona,483709,636,331744,257480,252624,252084,540,4856,1977
Extremadura,6,Badajoz ,640850,761,413193,322276,319026,318394,632,3250,1977
Extremadura,10,Cáceres ,425667,480,279372,212461,209363,209001,362,3098,1977
Galicia,15,A Coruña,1042880,1294,731499,461870,450884,448426,2458,10986,1977
Galicia,27,Lugo,416972,543,302293,171681,167944,167142,802,3737,1977
Galicia,32,Ourense ,435210,514,315033,163961,161081,160491,590,2880,1977
Galicia,36,Pontevedra,828812,1084,548711,354864,348710,347812,898,6154,1977
Comunidad de Madrid,28,Madrid,4365544,5090,2744152,2332660,2308916,2302805,6111,23744,1977
Comunidad Foral de Navarra,31,Navarra ,484041,807,319222,262522,258464,257866,598,4058,1977
País Vasco,1,Araba - Álava,235113,315,153080,126968,124212,123967,245,2756,1977
País Vasco,20,Gipuzkoa,682517,744,437592,335512,331292,330135,1157,4220,1977
País Vasco,48,Bizkaia ,1151102,1177,749572,572548,556235,555069,1166,16313,1977
Región de Murcia,30,Murcia,881340,1097,551021,450752,446272,445612,660,4480,1977
La Rioja ,26,La Rioja,240746,405,167030,140429,137659,137303,356,2770,1977
Comunitat Valenciana,3,Alicante / Alacant,1051941,1291,677156,556525,549184,548113,1071,7341,1977
Comunitat Valenciana,12,Castellón / Castelló,410984,544,283161,242186,238154,237404,750,4032,1977
Comunitat Valenciana,46,Valencia / València,1905152,2146,1287981,1091199,1080031,1078161,1870,11168,1977
Ciudad de Ceuta ,51,Ceuta,67077,57,31672,24578,24290,24223,67,288,1977
Ciudad de Melilla,52,Melilla ,60191,44,25368,19291,19056,18949,107,235,1977
