PSOE,AP-PDP-PL,CDS,CIU,IU,EAJ-PNV,HB,MUC,PRD,EE,PA,ERC,CG,PST,PAR,AIC,UV,PCC,PSG-EG,FE-JONS,UCE,UPV,AC-INC,LV,AV,VERDE,UPR,BNG,POSI,EU,PSPA,PSM-EN,CUN,PORE,PSDC,ADEI,CL,PREPAL,ENV-URV,LOC,PMCN,CN,PRM,PED,PANCAL,CA,PROV,AE-AIC,PAEC,EMK,LKI
111617,54433,18960,0,11010,0,0,1741,5565,0,3109,0,0,0,0,0,0,0,0,428,446,0,0,0,0,0,707,0,282,0,1035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
286104,93284,26080,0,27527,0,0,3743,3234,0,19682,0,0,2117,0,0,0,489,0,1419,961,0,0,0,0,0,938,0,994,0,2186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
223759,90637,27211,0,51007,0,0,3246,4075,0,12211,0,0,903,0,0,0,0,0,170,534,0,0,0,0,0,315,0,327,0,1109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212031,105156,27398,0,28198,0,0,9890,3103,0,5165,0,0,865,0,0,0,267,0,848,619,0,0,0,0,0,432,0,0,0,4303,0,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130386,44778,12034,0,11068,0,0,1889,1698,0,4910,0,0,0,0,0,0,0,0,361,445,0,0,0,0,0,0,0,0,0,1041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201494,98395,19507,0,33569,0,0,2042,2569,0,4483,0,0,0,0,0,0,0,0,534,390,0,0,0,0,0,316,0,338,0,976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
284757,108640,29925,0,44595,0,0,4097,4438,0,11933,0,0,0,0,0,0,0,0,964,957,0,0,0,0,0,894,0,0,0,2589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
473743,169409,29033,0,66034,0,0,11020,4428,0,32515,0,0,2565,0,0,0,0,0,988,841,0,0,0,2224,1208,512,0,378,0,1760,0,448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53764,30289,15446,0,3978,0,0,1043,1914,0,0,0,0,486,11786,0,0,105,0,0,353,0,0,0,0,0,241,0,380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35785,28583,9233,0,1363,0,0,860,956,0,0,0,0,434,8405,0,0,0,0,312,205,0,0,0,0,0,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
