PSOE,PP,IU,CDS,CIU,EAJ-PNV,RUIZ-MATEOS,HB,PA,LV-LV,UV,EA,LVE,EE,PTE-UC,ERC,PST,PAR,AIC,PCPE,BNG,CG,UPV,PSG-EG,AV-MEC,FE-JONS,ACN,VERDE,CSD,PH,PNG-PG,AR,EXU,PSM-ENE,PORE,IGC,PAS,PED,FPG,PAM,GRM,UNA,UA-CHA,ENV-URV,PREPAL,UB,CEU,SEV,MV,ACI,PANCAL,COA,ARDE,PEE-(LV),R X C,FE (I),TAGOROR,PRGU,PRB,PNEM,PPR,PCE-(ML),LKI-EMK
115587,51421,18697,19523,0,0,4176,0,5116,2062,0,0,0,0,701,0,650,0,0,274,0,0,0,0,0,0,0,0,0,142,0,184,0,0,0,0,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
243410,76688,44871,19905,0,0,16225,0,53173,3928,0,0,2791,0,1501,0,1789,0,0,861,0,0,0,0,0,515,0,0,0,383,0,408,0,0,0,0,0,276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
207503,76561,77106,21110,0,0,4893,0,24714,1343,0,0,1153,0,1504,0,1271,0,0,705,0,0,0,0,0,368,0,0,0,214,0,216,0,0,0,0,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204596,100619,47067,24619,0,0,5613,0,10824,3833,0,0,2179,0,4310,0,1042,0,0,800,0,0,0,0,0,460,0,0,0,219,0,191,0,0,0,0,0,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123126,41173,16278,9846,0,0,3223,0,10618,1096,0,0,1157,0,998,0,1148,0,0,262,0,0,0,0,0,205,0,0,0,151,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197733,88906,42112,17576,0,0,2540,0,9010,1369,0,0,1231,0,777,0,1139,0,0,1089,0,0,0,0,0,345,0,0,0,166,0,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
263147,99352,69522,28434,0,0,6783,0,26201,3790,0,0,4739,0,1652,0,1987,0,0,827,0,0,0,0,0,722,0,0,0,351,0,285,0,0,0,0,0,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
438615,153905,93080,18420,0,0,8163,0,73031,4823,0,0,2474,0,6277,0,1830,0,0,1760,0,0,0,0,0,798,0,1436,0,484,0,391,0,0,0,0,0,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245,0,0
47491,29938,9074,10015,0,0,1058,0,0,0,0,0,1405,0,368,0,870,14260,0,237,0,0,0,0,0,103,0,0,412,118,0,120,0,0,0,0,0,0,0,0,0,0,875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33744,27695,3580,7319,0,0,497,0,0,291,0,0,365,0,354,0,410,8894,0,88,0,0,0,0,0,97,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174107,125728,51546,32826,0,0,5317,0,0,2683,0,0,2965,0,2112,0,2773,48579,0,573,0,0,0,0,0,510,0,0,1437,361,0,315,0,0,0,0,0,0,0,0,0,0,2078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
248584,162590,95494,76643,0,0,3424,0,0,4352,0,0,3340,0,1854,0,2861,0,0,1604,0,0,0,0,0,751,0,0,0,406,0,469,0,0,0,0,3526,0,0,0,0,3218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118833,140163,17555,31671,0,0,8709,0,0,8762,0,0,0,0,772,0,1621,0,0,1050,0,0,0,0,0,541,0,0,0,0,0,327,0,7989,431,0,0,0,0,0,0,0,0,0,0,2883,0,0,0,0,0,0,0,0,0,0,0,0,398,0,0,0,0
113675,73443,35818,86121,0,0,6211,0,0,2999,0,0,2576,0,810,0,1523,0,6333,979,0,0,0,0,0,391,13244,0,0,574,0,0,0,0,0,6371,0,0,0,0,0,0,0,0,0,0,0,1411,0,0,0,0,0,0,0,0,472,0,0,0,0,0,0
128360,56600,17546,31776,0,0,3906,0,0,3139,0,0,2117,0,844,0,1990,0,58434,521,0,0,0,0,0,376,8295,0,0,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119352,114403,19058,28976,0,0,2208,0,0,1860,0,0,2481,0,1291,0,1727,0,0,1132,0,0,0,0,0,868,0,0,0,347,0,256,0,0,0,0,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,904,0,0,0,0,0,0,0,0
97904,60664,16580,14651,0,0,1242,0,0,1336,0,0,891,0,830,0,729,0,0,557,0,0,0,0,0,270,0,0,0,197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143416,82074,17285,21717,0,0,2193,0,0,2063,0,0,1351,0,501,0,948,0,0,388,0,0,0,0,0,0,0,0,0,168,0,195,0,0,0,0,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58465,49748,5529,9149,0,0,750,0,0,615,0,0,562,0,649,0,520,0,0,150,0,0,0,0,0,256,0,0,0,63,0,159,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31653,37061,7280,6622,0,0,601,0,0,620,0,0,467,0,201,0,492,0,0,74,0,0,0,0,0,182,0,0,0,79,0,58,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,426,0,0,0,0,0
135526,99167,21053,23159,0,0,2070,0,0,0,0,0,1520,0,500,0,884,0,0,331,0,0,0,0,0,589,0,1143,0,202,0,148,0,0,0,0,0,452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30282,35757,4815,34402,0,0,682,0,0,1139,0,0,487,0,156,0,216,0,0,146,0,0,0,0,0,149,0,0,0,70,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65811,88446,16010,21973,0,0,2202,0,0,0,0,0,3544,0,613,0,1244,0,0,487,0,0,0,0,0,391,0,0,0,389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114046,109792,17910,28898,0,0,2913,0,0,2385,0,0,1454,0,713,0,1819,0,0,514,0,0,0,0,0,372,0,0,0,191,0,325,0,0,0,0,0,0,0,0,0,0,0,0,1825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41313,50186,6533,9696,0,0,0,0,0,1307,0,0,768,0,398,0,735,0,0,222,0,0,0,0,0,226,0,0,0,145,0,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79966,88048,12308,27068,0,0,0,0,0,2331,0,0,1291,0,476,0,1052,0,0,384,0,0,0,0,0,278,0,0,0,206,0,329,0,0,0,0,0,0,0,0,0,0,0,0,584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27468,35705,6387,14764,0,0,616,0,0,802,0,0,967,0,283,0,518,0,0,163,0,0,0,0,0,109,0,0,0,278,0,137,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18421,26756,2872,5260,0,0,466,0,0,0,0,0,0,0,164,0,539,0,0,117,0,0,0,0,0,106,0,0,0,137,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252,0,0,0,0,0,0,0,0,0,0,0,0
