comunidad,cod_provincia,provincia,poblacion,num_mesas,censo_sin_cera,censo_cera,total_censo_electoral,total_cer,total_cera,total_votantes,votos_validos,votos_candidaturas,votos_blanco,votos_nulos,anio
Andalucía ,4,Almería ,455539,478,343097,6061,349158,261810,2733,264543,263376,262223,1153,1167,1993
Andalucía ,11,Cádiz ,1078404,1044,791114,7408,798522,562426,2788,565214,561799,558745,3054,3415,1993
Andalucía ,14,Córdoba ,754452,799,577279,5345,582624,467003,2220,469223,467598,465297,2301,1625,1993
Andalucía ,18,Granada ,790515,686,604775,8634,613409,463010,3243,466253,464645,462478,2167,1608,1993
Andalucía ,21,Huelva,443476,417,338975,1830,340805,247904,778,248682,247841,246656,1185,841,1993
Andalucía ,23,Jaén,637633,688,492688,2825,495513,400052,1257,401309,399912,398229,1683,1397,1993
Andalucía ,29,Málaga,1160843,1106,864240,9537,873777,634167,4100,638267,634901,631808,3093,3366,1993
Andalucía ,41,Sevilla ,1619703,1920,1226415,7263,1233678,971355,2939,974294,970301,964195,6106,3993,1993
Aragón,22,Huesca,207818,370,171118,2207,173325,133130,1035,134165,133300,132267,1033,865,1993
Aragón,44,Teruel,143725,327,118093,1485,119578,90084,594,90678,90084,89487,597,594,1993
Aragón,50,Zaragoza,837067,1236,681022,5025,686047,538244,2026,540270,537237,533354,3883,3033,1993
Principado de Asturias,33,Asturias,1093937,1423,901786,18604,920390,686835,7408,694243,691381,685075,6306,2862,1993
Illes Balears ,7,Illes Balears ,709138,901,568890,2822,571712,414028,833,414861,412545,409060,3485,2316,1993
Canarias,35,Las Palmas,767969,970,594501,2483,596984,423027,624,423651,420189,417160,3029,3462,1993
Canarias,38,Santa Cruz de Tenerife,725815,775,578653,7863,586516,390463,1533,391996,389329,387253,2076,2667,1993
Cantabria ,39,Cantabria ,527326,517,414487,5889,420376,329972,2047,332019,329344,325092,4252,2675,1993
Castilla - La Mancha,2,Albacete,342519,507,270493,2043,272536,223624,925,224549,223335,221492,1843,1214,1993
