PSOE,PP,IU,CIU,CDS,EAJ-PNV,CC,HB,ERC,VERDES,PAR,EA-EUE,BNG,UV,PA,LE,ARM-ADE,PAP,UPV,PST,UPCA,PSM-ENE,PRC,UA,GIL,PGC,UPL,PLN,PAS,E U,PCPE,UMMP,PEC-VERDE,PH,POR,FE-JONS,NPS,P RIOJANO,CHA,CNG,TC-PNC,AG,ARDE,URCL,PB,PREX,SEES,PRIM,ACI,ENV,FE (I),APP,ARCOIRIS,PVPA,PC,PREPAL,MCE,ATF,PSPC,AIGRANC,UC,AA,FE (A),UNIDA,FPE,UDLA,OS,CONCEYU,PIAP,ABE,PITRCG,LG,PNC,IF,PRB,P TAGOROR,PRGU,MCES,US,PANCAL,INCE,UCE,PED,CCL,FREIXES
126242,98341,25020,0,3585,0,0,0,0,1391,0,0,0,0,3551,487,375,952,0,0,0,0,0,0,1475,0,0,106,0,0,0,0,0,0,0,131,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
280715,155785,61604,0,4287,0,0,0,0,3518,0,0,0,0,15786,1620,2732,27225,0,1250,0,0,0,0,2455,0,0,279,0,0,740,0,0,189,0,345,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230258,128898,80977,0,4648,0,0,0,0,1530,0,0,0,0,12564,956,457,2264,0,0,0,0,0,0,1298,0,0,134,0,0,885,0,0,123,0,195,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
229537,160955,50588,0,5324,0,0,0,0,3687,0,0,0,0,6978,1006,480,1757,0,0,0,0,0,0,1034,0,0,132,0,0,550,0,0,114,0,245,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138445,72640,22439,0,2093,0,0,0,0,1161,0,0,0,0,7454,538,392,1304,0,0,0,0,0,0,676,0,0,90,0,0,290,0,0,58,0,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210306,129705,41311,0,3455,0,0,0,0,1602,0,0,0,0,7211,607,324,1380,0,0,0,0,0,0,735,0,0,98,0,0,526,0,0,80,0,221,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
304745,196911,89498,0,5911,0,0,0,0,4976,0,0,0,0,12548,2069,915,4403,0,0,0,0,0,0,8004,0,0,0,0,0,591,0,0,215,0,444,0,0,0,0,0,0,0,0,0,0,578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
543651,252241,113316,0,5597,0,0,0,0,5507,0,0,0,0,30421,2506,1090,3884,0,1713,0,0,0,0,775,0,0,608,0,0,1718,0,0,255,0,440,270,0,0,0,0,0,0,0,0,0,0,0,0,0,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50720,43059,9756,0,2840,0,0,0,0,0,23784,0,0,0,0,0,309,0,0,0,0,0,0,0,0,0,0,364,0,0,0,0,0,0,125,0,81,0,1229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36327,34293,3990,0,1644,0,0,0,0,193,12070,0,0,0,0,200,86,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,63,56,0,54,0,465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
