UCD,PSOE,PCE,AP,PSP-US,PDPC,PNV,FDC-EDC,UDC-IDCC,EC-FED,FDI,ASDCI,AET,AN18,RSE,EE,FJONSA,FUT,CAIC,ESB,PSPV,INDEP,PSG,DCV,FJONS,UNAI,BNPG,AFN,URA,PSOE-H,LLIGA,ANEPA-CP,UAN,PCU,DIV,CUPS,UAB,CCIA,URAS,FNI,PPCAN,DSCC,MS,MFA,ASA,CJA,INDEP,ANV,INDEP,INDEP,DCAR,INDEP,FN,CUP,PSCAN,PIM,FAA,PPROV,INDEP,ICU,PSDE,PDG,UDIB,INDEP,FL,INDEP,INDEP,INDEP,PRSV,INDEP,INDEP,AEICYU,CUIR,CIPYE,ADEC,ADC,FEI,PAE,PLI,INDEP,BAI,CAI
92019,50723,11926,14886,5789,0,0,5553,0,0,770,892,0,775,771,0,718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112927,150896,41809,20424,40232,0,0,5216,0,0,10808,0,0,0,2404,0,0,254,0,0,0,0,0,0,1979,0,0,0,13396,0,0,3635,0,0,0,0,0,0,0,0,0,0,1498,0,0,0,6472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117482,122361,59668,33616,13195,0,0,2984,0,0,4056,923,0,1718,1413,0,693,1463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1684,0,0,0,0,0,0,0,0,0,0,0
152498,111746,33879,24573,12567,0,0,3104,0,0,4235,2146,0,0,1704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89494,63172,10217,9415,4819,0,0,2604,0,0,988,2214,2974,0,1059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103697,123708,29847,26422,6476,0,0,3071,0,0,1278,2135,0,0,0,0,807,0,0,0,0,0,0,0,0,0,0,0,5291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8439,1308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,833,596,0,0,0
115390,185095,50990,34838,22144,0,0,3942,0,0,5106,1536,0,0,7049,0,1444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1124,0,0,0,0,0,0,0,0,0,0,3245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1480,0,0,0,0,0,0,226,0
223252,251336,91914,42860,33329,0,0,6523,0,0,19008,4064,1736,2197,1736,0,0,0,0,0,0,0,0,0,0,0,0,0,2663,0,0,0,0,0,0,0,0,0,0,0,0,0,1749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55837,33693,7398,7223,13730,0,0,2895,0,0,955,0,0,0,0,0,398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46820,16423,2442,15180,3387,0,0,0,0,0,0,0,0,332,1842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209,0,0,0
