comunidad,cod_provincia,provincia,poblacion,num_mesas,total_censo_electoral,total_votantes,votos_validos,votos_candidaturas,votos_blanco,votos_nulos,fecha
Andalucía,4,Almería ,410395,420,276276,212232,207562,206169,1393,4670,1982-10-01
Andalucía,11,Cádiz ,982138,903,650906,492509,484629,483208,1421,7880,1982-10-01
Andalucía,14,Córdoba ,710193,674,513521,434272,425397,420133,5264,8875,1982-10-01
Andalucía,18,Granada ,757536,665,532882,409109,405204,404125,1079,3905,1982-10-01
Andalucía,21,Huelva,413100,402,288285,223070,220051,219488,563,3019,1982-10-01
Andalucía,23,Jaén,638807,780,448573,367372,363721,363117,604,3651,1982-10-01
Andalucía,29,Málaga,1003234,698,688091,513801,508260,506859,1401,5541,1982-10-01
Andalucía,41,Sevilla ,1476713,1564,1002070,813317,800995,798724,2271,12322,1982-10-01
Aragón ,22,Huesca,213232,370,166852,135567,130487,129660,827,5080,1982-10-01
Aragón ,44,Teruel,152597,309,120600,96545,94778,94151,627,1767,1982-10-01
Aragón ,50,Zaragoza,826766,1066,617130,513450,498002,494726,3276,15448,1982-10-01
Principado de Asturias ,33,Asturias,1129556,1286,853981,662710,651378,648579,2799,11332,1982-10-01
Illes Balears,7,Illes Balears ,655909,688,466909,372330,356539,354391,2148,15791,1982-10-01
Canarias ,35,Las Palmas,705604,511,451580,346873,335299,333551,1748,11574,1982-10-01
Canarias ,38,Santa Cruz de Tenerife,658827,581,434270,326334,318433,316987,1446,7901,1982-10-01
Cantabria,39,Cantabria,513009,493,376712,311415,302165,300397,1768,9250,1982-10-01
Castilla - La Mancha,2,Albacete,339373,431,240155,196992,192882,192021,861,4110,1982-10-01
Castilla - La Mancha,13,Ciudad Real ,475226,481,342009,285326,280174,279112,1062,5152,1982-10-01
Castilla - La Mancha,16,Cuenca,212363,297,162631,135175,132778,132061,717,2397,1982-10-01
Castilla - La Mancha,19,Guadalajara ,143290,356,108116,91174,89610,88917,693,1564,1982-10-01
Castilla - La Mancha,45,Toledo,473948,436,346764,300337,293302,292305,997,7035,1982-10-01
Castilla y León,5,Ávila ,183188,315,138655,114016,111632,111075,557,2384,1982-10-01
Castilla y León,9,Burgos,360693,714,273611,216779,211814,210147,1667,4965,1982-10-01
Castilla y León,24,León,520641,626,397470,306217,297733,295834,1899,8484,1982-10-01
Castilla y León,34,Palencia,188382,367,140896,118129,115881,115203,678,2248,1982-10-01
Castilla y León,37,Salamanca,364482,561,277215,224459,218482,216883,1599,5977,1982-10-01
Castilla y León,40,Segovia ,148347,262,112316,94734,92619,91700,919,2115,1982-10-01
Castilla y León,42,Soria ,100690,228,78871,63458,61230,60461,769,2228,1982-10-01
Castilla y León,47,Valladolid,481470,516,343171,289846,281325,279175,2150,8521,1982-10-01
Castilla y León,49,Zamora,227771,428,180190,139193,132478,131110,1368,6715,1982-10-01
Cataluña ,8,Barcelona,4599664,4782,3331611,2716289,2682414,2671596,10818,33875,1982-10-01
Cataluña ,17,Girona,456274,616,338724,272099,267112,266150,962,4987,1982-10-01
Cataluña ,25,Lleida,352657,434,268205,203403,200991,200158,833,2412,1982-10-01
Cataluña ,43,Tarragona,513050,581,372329,292736,287189,286074,1115,5547,1982-10-01
Extremadura,6,Badajoz ,639332,681,460056,371485,365197,363667,1530,6288,1982-10-01
Extremadura,10,Cáceres ,421453,414,305672,240936,235868,235104,764,5068,1982-10-01
Galicia,15,A Coruña,1092940,1111,804461,523019,513738,511030,2708,9281,1982-10-01
Galicia,27,Lugo,400881,453,319960,194640,191583,190387,1196,3057,1982-10-01
Galicia,32,Ourense ,430030,465,329847,181504,179221,178569,652,2283,1982-10-01
Galicia,36,Pontevedra,882940,838,619714,421897,414468,412471,1997,7429,1982-10-01
Comunidad de Madrid ,28,Madrid,4686832,5730,3274966,2815298,2762663,2750837,11826,52635,1982-10-01
Comunidad Foral de Navarra,31,Navarra ,472880,709,375846,305693,298011,296126,1885,7682,1982-10-01
País Vasco,1,Araba - Álava ,256982,268,183109,149834,146251,145417,834,3583,1982-10-01
País Vasco,20,Gipuzkoa,694681,774,500820,391237,384660,383003,1657,6577,1982-10-01
País Vasco,48,Bizkaia ,1186507,1175,854204,679298,664570,661252,3318,14728,1982-10-01
Región de Murcia,30,Murcia,948141,858,656052,541158,532961,531107,1854,8197,1982-10-01
La Rioja ,26,La Rioja,254187,346,190204,159966,155995,154909,1086,3971,1982-10-01
Comunitat Valenciana,3,Alicante / Alacant ,1149178,956,787709,665188,651383,648463,2920,13805,1982-10-01
Comunitat Valenciana,12,Castellón / Castelló,429884,427,314300,270118,262382,261293,1089,7736,1982-10-01
Comunitat Valenciana,46,Valencia / València,2065242,1697,1462208,1219394,1191845,1187293,4552,27549,1982-10-01
Ciudad de Ceuta,51,Ceuta ,65264,36,36128,26117,25690,25571,119,427,1982-10-01
Ciudad de Melilla ,52,Melilla ,53593,36,30107,21224,21006,20854,152,218,1982-10-01
